date,code,name,product,median,avg,low,high,count
2026-04-01,ME01,Mega Evolution,Booster Box,400.0,403.33,390.0,419.99,3
2026-04-01,ME01,Mega Evolution,Enhanced Booster Box,409.95,410.73,360.0,449.99,39
2026-04-01,ME01,Mega Evolution,ETB,159.5,157.1,139.99,185.0,20
2026-04-01,ME01,Mega Evolution,PC ETB,162.47,158.28,139.99,185.0,16
2026-04-01,ME01,Mega Evolution,Booster Bundle,84.97,82.35,70.0,89.99,20
2026-04-01,ME02,Phantasmal Flames,Booster Box,500.0,505.15,419.0,600.0,44
2026-04-01,ME02,Phantasmal Flames,ETB,170.0,172.35,145.0,200.0,50
2026-04-01,ME02,Phantasmal Flames,PC ETB,162.47,161.23,124.99,225.0,54
2026-04-01,ME02,Phantasmal Flames,Booster Bundle,85.0,84.53,70.0,105.0,43
2026-04-01,ME2.5,Ascended Heroes,ETB,190.7,192.49,165.0,230.0,38
2026-04-01,ME2.5,Ascended Heroes,PC ETB,180.0,186.9,168.88,219.0,27
2026-04-01,ME2.5,Ascended Heroes,Booster Bundle,100.0,100.37,79.0,130.0,24
2026-04-01,ME03,Perfect Order,Booster Box,328.0,329.9,286.0,425.0,21
2026-04-01,ME03,Perfect Order,ETB,122.4,123.87,100.0,145.0,27
2026-04-01,ME03,Perfect Order,PC ETB,129.47,130.17,122.4,140.0,8
2026-04-01,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-02,ME01,Mega Evolution,Booster Box,400.0,400.0,400.0,400.0,1
2026-04-02,ME01,Mega Evolution,Enhanced Booster Box,419.0,420.3,375.0,499.88,41
2026-04-02,ME01,Mega Evolution,ETB,164.95,160.06,139.0,185.0,21
2026-04-02,ME01,Mega Evolution,PC ETB,164.99,167.09,139.0,250.0,21
2026-04-02,ME01,Mega Evolution,Booster Bundle,85.0,83.63,70.0,100.0,24
2026-04-02,ME02,Phantasmal Flames,Booster Box,450.0,460.99,363.0,600.0,131
2026-04-02,ME02,Phantasmal Flames,ETB,150.0,158.57,124.99,215.0,139
2026-04-02,ME02,Phantasmal Flames,PC ETB,160.0,159.97,130.0,225.0,55
2026-04-02,ME02,Phantasmal Flames,Booster Bundle,84.97,83.88,70.0,105.0,52
2026-04-02,ME2.5,Ascended Heroes,ETB,185.0,186.18,157.5,230.0,104
2026-04-02,ME2.5,Ascended Heroes,PC ETB,180.0,184.65,159.95,219.0,30
2026-04-02,ME2.5,Ascended Heroes,Booster Bundle,100.0,101.26,79.0,140.0,27
2026-04-02,ME03,Perfect Order,Booster Box,324.0,328.2,286.0,425.0,24
2026-04-02,ME03,Perfect Order,ETB,123.7,124.55,100.0,147.98,28
2026-04-02,ME03,Perfect Order,PC ETB,129.0,126.82,110.0,140.0,15
2026-04-02,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-03,ME01,Mega Evolution,Booster Box,400.0,403.33,390.0,419.99,3
2026-04-03,ME01,Mega Evolution,Enhanced Booster Box,409.98,410.83,360.0,449.99,44
2026-04-03,ME01,Mega Evolution,ETB,162.72,161.35,139.99,185.0,20
2026-04-03,ME01,Mega Evolution,PC ETB,165.0,171.61,139.0,250.0,21
2026-04-03,ME01,Mega Evolution,Booster Bundle,84.97,82.33,70.0,89.99,24
2026-04-03,ME02,Phantasmal Flames,Booster Box,453.5,464.96,363.0,600.0,132
2026-04-03,ME02,Phantasmal Flames,ETB,154.99,158.85,125.0,215.0,137
2026-04-03,ME02,Phantasmal Flames,PC ETB,162.47,161.92,130.0,225.0,54
2026-04-03,ME02,Phantasmal Flames,Booster Bundle,84.97,83.88,70.0,105.0,52
2026-04-03,ME2.5,Ascended Heroes,ETB,185.0,186.59,157.5,230.0,104
2026-04-03,ME2.5,Ascended Heroes,PC ETB,180.0,186.53,165.0,219.95,41
2026-04-03,ME2.5,Ascended Heroes,Booster Bundle,100.0,100.64,79.0,140.0,25
2026-04-03,ME03,Perfect Order,Booster Box,324.0,328.2,286.0,425.0,24
2026-04-03,ME03,Perfect Order,ETB,124.99,125.22,107.0,145.0,27
2026-04-03,ME03,Perfect Order,PC ETB,125.0,126.77,115.0,140.0,12
2026-04-03,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-03,PROMO,EB Games Promos,Gengar 050/088,125.0,125.73,80.0,190.5,112
2026-04-03,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR PSA 10,799.5,799.5,799.5,799.5,1
2026-04-03,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR Raw,248.25,251.19,150.0,330.0,34
2026-04-03,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR PSA 10,1952.0,2010.86,1775.0,2275.0,7
2026-04-03,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR PSA 9,884.5,884.5,799.0,969.99,2
2026-04-03,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR Raw,765.0,779.01,600.0,1000.0,50
2026-04-04,ME01,Mega Evolution,Booster Box,400.0,400.0,400.0,400.0,1
2026-04-04,ME01,Mega Evolution,Enhanced Booster Box,425.0,422.8,375.0,488.88,36
2026-04-04,ME01,Mega Evolution,ETB,164.99,163.28,139.0,199.88,21
2026-04-04,ME01,Mega Evolution,PC ETB,165.0,170.4,139.0,250.0,22
2026-04-04,ME01,Mega Evolution,Booster Bundle,84.99,82.43,70.0,89.99,23
2026-04-04,ME02,Phantasmal Flames,ETB,154.99,158.85,125.0,215.0,137
2026-04-04,ME02,Phantasmal Flames,PC ETB,160.0,161.43,130.0,225.0,57
2026-04-04,ME02,Phantasmal Flames,Booster Bundle,84.99,84.15,70.0,105.0,51
2026-04-04,ME2.5,Ascended Heroes,ETB,188.0,190.52,165.0,230.0,69
2026-04-04,ME2.5,Ascended Heroes,Booster Bundle,100.0,101.44,79.0,135.0,25
2026-04-04,ME03,Perfect Order,Booster Box,320.0,321.5,286.0,375.95,24
2026-04-04,ME03,Perfect Order,ETB,124.99,125.66,107.0,145.0,27
2026-04-04,ME03,Perfect Order,PC ETB,125.0,126.15,115.0,140.0,15
2026-04-04,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-04,PROMO,EB Games Promos,Gengar 050/088,149.5,145.83,96.0,190.5,48
