date,code,name,product,median,avg,low,high,count
2026-04-22,NINJA,Ninja Spinner,Mega Greninja ex #114 SR PSA 10,1262.57,1279.31,1188.48,1370.25,9
2026-04-22,NINJA,Ninja Spinner,Mega Floette ex #115 SR PSA 10,614.87,620.06,612.94,637.54,4
2026-04-22,NINJA,Ninja Spinner,Mega Dragalge ex #116 SR PSA 10,891.9,923.35,891.68,1017.9,4
2026-04-22,NINJA,Ninja Spinner,Cinccino ex #117 SR PSA 10,956.04,956.04,891.9,1020.18,2
2026-04-22,NINJA,Ninja Spinner,Roxie's Performance #119 SR PSA 10,989.01,989.01,922.66,1055.37,2
2026-04-22,NIHIL,Nihil Zero,Dedenne #085 SR PSA 10,262.08,265.25,262.01,271.65,3
2026-04-22,NIHIL,Nihil Zero,Clefairy #086 SR PSA 10,250.36,314.0,192.25,494.32,6
2026-04-22,NIHIL,Nihil Zero,Mega Zygarde ex #097 SR PSA 10,274.03,274.03,269.09,278.98,2
2026-04-22,NIHIL,Nihil Zero,Rosa's Encouragement #107 SR PSA 10,328.91,315.71,276.85,340.82,5
2026-04-22,NIHIL,Nihil Zero,Mega Starmie ex #111 SR PSA 10,291.49,299.73,268.93,368.13,13
2026-04-22,NIHIL,Nihil Zero,Mega Clefable ex #112 SR PSA 10,292.23,296.61,220.09,396.81,11
2026-04-22,NIHIL,Nihil Zero,Mega Zygarde ex #113 SR PSA 10,384.43,388.93,350.66,438.34,16
2026-04-22,NIHIL,Nihil Zero,Meowth ex #114 SR PSA 10,645.96,626.94,502.92,799.76,17
2026-04-22,NIHIL,Nihil Zero,Rosa's Encouragement #115 SR PSA 10,1059.63,1121.36,971.35,1363.96,11
2026-04-22,NIHIL,Nihil Zero,Jacinthe #116 SR PSA 10,320.76,323.27,318.37,330.68,3
2026-04-22,NIHIL,Nihil Zero,Mega Zygarde ex #117 SR PSA 10,1398.21,1495.76,1208.04,1838.65,7
2026-04-22,INFX,Inferno X,Ludicolo #081 SR PSA 10,77.24,77.24,76.9,77.58,2
2026-04-22,INFX,Inferno X,Nymble #082 SR PSA 10,77.24,77.24,76.9,77.58,2
2026-04-22,INFX,Inferno X,Charcadet #083 SR PSA 10,72.29,84.44,72.14,108.9,3
2026-04-22,INFX,Inferno X,Piplup #085 SR PSA 10,115.0,117.62,93.82,135.35,7
2026-04-22,INFX,Inferno X,Zacian #087 SR PSA 10,78.28,90.63,75.1,124.99,5
2026-04-22,INFX,Inferno X,Flygon #088 SR PSA 10,80.0,81.98,70.62,98.09,7
2026-04-22,INFX,Inferno X,Toxtricity #089 SR PSA 10,67.63,55.6,29.95,69.21,3
2026-04-22,INFX,Inferno X,Togedemaru #090 SR PSA 10,72.14,71.68,70.62,72.29,3
2026-04-22,INFX,Inferno X,Wigglytuff #091 SR PSA 10,94.95,93.54,80.0,104.28,4
2026-04-22,INFX,Inferno X,Ambipom #092 SR PSA 10,86.9,86.9,86.9,86.9,1
2026-04-22,INFX,Inferno X,Mega Charizard X ex #094 SR PSA 10,385.55,395.73,150.73,719.92,34
2026-04-22,INFX,Inferno X,Empoleon ex #099 SR PSA 10,71.46,71.46,70.62,72.29,2
2026-04-22,INFX,Inferno X,Grimsley's Move #105 SR PSA 10,68.39,68.39,67.58,69.21,2
2026-04-22,INFX,Inferno X,Dawn #106 SR PSA 10,153.8,244.28,132.26,426.12,15
2026-04-22,INFX,Inferno X,Mega Charizard X ex #110 SR PSA 10,2451.85,2496.04,2166.51,3000.0,38
2026-04-22,INFX,Inferno X,Oricorio ex #111 SR PSA 10,284.52,285.37,253.62,339.55,31
2026-04-22,INFX,Inferno X,Rotom ex #112 SR PSA 10,119.95,118.31,98.42,149.99,11
